year,period,periodName,value,labor.force
2018,M12,December,33549,913440
2018,M11,November,31331,911244
2018,M10,October,33264,915456
2018,M09,September,31848,909382
2018,M08,August,34507,907703
2018,M07,July,35083,917505
2018,M06,June,34778,913526
2018,M05,May,30345,910075
2018,M04,April,32081,913817
2018,M03,March,35920,921570
2018,M02,February,38521,923830
2018,M01,January,37836,912400
2017,M12,December,33015,907377
2017,M11,November,33764,909900
2017,M10,October,36415,915743
2017,M09,September,38097,918898
2017,M08,August,41737,917225
2017,M07,July,40888,923105
2017,M06,June,37364,915419
2017,M05,May,36606,914775
2017,M04,April,34643,916755
2017,M03,March,36796,921968
2017,M02,February,41266,923213
2017,M01,January,41674,915115
2016,M12,December,36500,908099
2016,M11,November,38262,910712
2016,M10,October,43412,917091
2016,M09,September,44127,916560
2016,M08,August,45024,915834
2016,M07,July,44775,919169
2016,M06,June,41192,910958
2016,M05,May,36958,907336
2016,M04,April,38760,912523
2016,M03,March,43110,921034
2016,M02,February,44235,920738
2016,M01,January,44438,913575
2015,M12,December,40015,909495
2015,M11,November,40693,908412
2015,M10,October,40851,909579
2015,M09,September,39243,902960
2015,M08,August,42344,907165
2015,M07,July,44764,912361
2015,M06,June,43484,907122
2015,M05,May,45431,909856
2015,M04,April,43956,907868
2015,M03,March,46184,909877
2015,M02,February,50745,912536
2015,M01,January,53109,908960
2014,M12,December,46632,905002
2014,M11,November,49981,908265
2014,M10,October,50761,910674
2014,M09,September,50652,903749
2014,M08,August,56264,906908
2014,M07,July,58531,911343
2014,M06,June,55602,903568
2014,M05,May,55733,901826
2014,M04,April,52511,897691
2014,M03,March,61256,907109
2014,M02,February,64014,906075
2014,M01,January,63128,897730
2013,M12,December,59074,903638
2013,M11,November,62811,907155
2013,M10,October,68890,908960
2013,M09,September,67343,908130
2013,M08,August,69719,908174
2013,M07,July,71508,913779
2013,M06,June,70894,906808
2013,M05,May,66438,902339
2013,M04,April,62522,897815
2013,M03,March,66462,898698
2013,M02,February,72601,901841
2013,M01,January,77153,900993
2012,M12,December,68585,897552
2012,M11,November,64693,893435
2012,M10,October,70042,901907
2012,M09,September,67489,895372
2012,M08,August,72357,893830
2012,M07,July,75703,899055
2012,M06,June,75062,897256
2012,M05,May,71546,894995
2012,M04,April,67479,888410
2012,M03,March,74035,894714
2012,M02,February,78334,895701
2012,M01,January,77005,887612
2011,M12,December,71739,888312
2011,M11,November,71080,888064
2011,M10,October,72643,889879
2011,M09,September,70321,885801
2011,M08,August,69811,884877
2011,M07,July,69236,883290
2011,M06,June,68236,877471
2011,M05,May,64528,877610
2011,M04,April,62649,877235
2011,M03,March,65238,878976
2011,M02,February,70176,879573
2011,M01,January,71727,875591
2010,M12,December,66904,871657
2010,M11,November,71318,875504
2010,M10,October,71416,878145
2010,M09,September,71859,879222
2010,M08,August,73614,881362
2010,M07,July,75957,883949
2010,M06,June,73723,879020
2010,M05,May,73986,881892
2010,M04,April,76768,887943
2010,M03,March,81408,885881
2010,M02,February,84576,886740
2010,M01,January,86257,883133
2009,M12,December,79457,919382
2009,M11,November,80328,925121
2009,M10,October,85349,929795
2009,M09,September,83259,928546
2009,M08,August,83967,938276
2009,M07,July,85163,944476
2009,M06,June,81631,932829
2009,M05,May,77788,929294
2009,M04,April,69936,928178
2009,M03,March,74739,933595
2009,M02,February,74356,937630
2009,M01,January,67719,932129
